 time            v(vin)          v(vdata)       
 1.00000000e-06  8.86848650e-01  2.39726834e-01 
 1.00320713e-06  8.86881188e-01  2.39836652e-01 
 1.00962139e-06  8.86946265e-01  2.39920816e-01 
 1.02244990e-06  8.87076419e-01  2.39981675e-01 
 1.04086394e-06  8.87263241e-01  2.40089593e-01 
 1.07769202e-06  8.87636886e-01  2.40206147e-01 
 1.12704290e-06  8.88137583e-01  2.40345336e-01 
 1.19625853e-06  8.88839820e-01  2.40457866e-01 
 1.30167273e-06  8.89909316e-01  2.40608283e-01 
 1.51250112e-06  8.92048307e-01  2.40779580e-01 
 1.71184472e-06  8.94070777e-01  2.40908009e-01 
 2.01933255e-06  8.97190441e-01  2.41024839e-01 
 2.37382606e-06  9.00787008e-01  2.41146167e-01 
 2.94413246e-06  9.06573137e-01  2.41264535e-01 
 3.58588083e-06  9.13084092e-01  2.41383660e-01 
 4.56358314e-06  9.23003517e-01  2.41492416e-01 
 5.68525508e-06  9.34383608e-01  2.41606426e-01 
 7.35853481e-06  9.51360119e-01  2.41706593e-01 
 9.29129447e-06  9.70969222e-01  2.41812813e-01 
 1.20982975e-05  9.99448092e-01  2.41900459e-01 
 1.53685960e-05  1.03262740e+00  2.41996036e-01 
 1.99211854e-05  1.07881637e+00  2.42067802e-01 
 2.52967320e-05  1.10098090e+00  2.42149647e-01 
 3.27860898e-05  1.13118997e+00  2.42206362e-01 
 4.13266129e-05  1.15144599e+00  2.42274209e-01 
 5.32118375e-05  1.07222978e+00  2.42324533e-01 
 6.65024697e-05  1.08837842e+00  2.42410414e-01 
 7.99904315e-05  1.21572366e+00  2.42518502e-01 
 9.62504949e-05  1.18118095e+00  2.42870725e-01 
 1.00000000e-04  1.17319000e+00  2.42987450e-01 
 1.01650151e-04  1.15516004e+00  2.43063160e-01 
 1.04950452e-04  1.11910013e+00  2.43217422e-01 
 1.11551054e-04  1.04698030e+00  2.43627540e-01 
 1.24752259e-04  9.79052878e-01  2.45026597e-01 
