 time            v(vin)          v(vmem)        
 1.00000000e-06  8.86848650e-01  2.59758182e-03 
 1.00320713e-06  8.86881188e-01  2.59538369e-03 
 1.00962139e-06  8.86946265e-01  2.59140235e-03 
 1.02244990e-06  8.87076419e-01  2.58548224e-03 
 1.04086394e-06  8.87263241e-01  2.57973368e-03 
 1.07769202e-06  8.87636886e-01  2.57249398e-03 
 1.12704290e-06  8.88137583e-01  2.56674247e-03 
 1.19625853e-06  8.88839820e-01  2.56164676e-03 
 1.30167273e-06  8.89909316e-01  2.55655338e-03 
 1.51250112e-06  8.92048307e-01  2.55003849e-03 
 1.71184472e-06  8.94070777e-01  2.54599048e-03 
 2.01933255e-06  8.97190441e-01  2.54142384e-03 
 2.37382606e-06  9.00787008e-01  2.53756216e-03 
 2.94413246e-06  9.06573137e-01  2.53298310e-03 
 3.58588083e-06  9.13084092e-01  2.52921978e-03 
 4.56358314e-06  9.23003517e-01  2.52498949e-03 
 5.68525508e-06  9.34383608e-01  2.52144301e-03 
 7.35853481e-06  9.51360119e-01  2.51757544e-03 
 9.29129447e-06  9.70969222e-01  2.51436849e-03 
 1.20982975e-05  9.99448092e-01  2.51105579e-03 
 1.53685960e-05  1.03262740e+00  2.50837744e-03 
 1.99211854e-05  1.07881637e+00  2.50586306e-03 
 2.52967320e-05  1.10098090e+00  2.50399338e-03 
 3.27860898e-05  1.13118997e+00  2.50255241e-03 
 4.13266129e-05  1.15144599e+00  2.50192280e-03 
 5.32118375e-05  1.07222978e+00  2.50210817e-03 
 6.65024697e-05  1.08837842e+00  2.50323296e-03 
 7.99904315e-05  1.21572366e+00  2.50501393e-03 
 9.62504949e-05  1.18118095e+00  2.50769892e-03 
 1.00000000e-04  1.17319000e+00  2.50838663e-03 
 1.01650151e-04  1.15516004e+00  2.50869518e-03 
 1.04950452e-04  1.11910013e+00  2.50932030e-03 
 1.11551054e-04  1.04698030e+00  2.51060764e-03 
 1.24752259e-04  9.79052878e-01  2.51330325e-03 
 1.47006852e-04  1.06637482e+00  2.51810956e-03 
 1.75587818e-04  1.00046042e+00  2.52458861e-03 
 2.03123646e-04  1.09957892e+00  2.53101740e-03 
 2.46400876e-04  1.07914921e+00  2.54127902e-03 
 2.95994385e-04  1.15704946e+00  2.55313300e-03 
 3.47681585e-04  9.32427966e-01  2.56552194e-03 
 4.39700408e-04  1.09214863e+00  2.58759406e-03 
 5.22921107e-04  1.17989441e+00  2.60754846e-03 
 6.22921107e-04  1.12224603e+00  2.63152295e-03 
