 time            v(vspike)      
 1.00000000e-06  2.04264450e-04 
 1.00320713e-06  7.69256647e-06 
 1.00962139e-06 -6.21731427e-06 
 1.02244990e-06  5.78326774e-06 
 1.04086394e-06 -5.46903415e-06 
 1.07769202e-06  5.34098008e-06 
 1.12704290e-06 -5.24876138e-06 
 1.19625853e-06  5.19508412e-06 
 1.30167273e-06 -5.12887661e-06 
 1.51250112e-06  5.14934551e-06 
 1.71184472e-06 -5.07739882e-06 
 2.01933255e-06  5.12093027e-06 
 2.37382606e-06 -5.04788604e-06 
 2.94413246e-06  5.10531936e-06 
 3.58588083e-06 -5.03201841e-06 
 4.56358314e-06  5.09640973e-06 
 5.68525508e-06 -5.02306750e-06 
 7.35853481e-06  5.09119454e-06 
 9.29129447e-06 -5.01949713e-06 
 1.20982975e-05  5.08623317e-06 
 1.53685960e-05 -5.01652363e-06 
 1.99211854e-05  5.08441902e-06 
 2.52967320e-05 -5.01981859e-06 
 3.27860898e-05  5.08316927e-06 
 4.13266129e-05 -5.02006424e-06 
 5.32118375e-05  5.07657663e-06 
 6.65024697e-05 -5.01122798e-06 
 7.99904315e-05  5.08291561e-06 
 9.62504949e-05 -5.02038577e-06 
 1.00000000e-04  5.08112704e-06 
 1.01650151e-04  2.76845145e-08 
 1.04950452e-04  2.64458291e-08 
 1.11551054e-04  2.79687388e-08 
 1.24752259e-04  3.16172669e-08 
 1.47006852e-04  3.56261819e-08 
 1.75587818e-04  2.63725351e-08 
 2.03123646e-04  4.06120508e-08 
 2.46400876e-04  2.29495461e-08 
 2.95994385e-04  4.23394507e-08 
 3.47681585e-04  1.79714762e-08 
 4.39700408e-04  4.74727408e-08 
 5.22921107e-04  1.73978366e-08 
 6.22921107e-04  4.61030083e-08 
 7.22921107e-04  1.77614652e-08 
 8.22921107e-04  4.49117629e-08 
 9.22921107e-04  1.97983579e-08 
 1.02292111e-03  4.37410382e-08 
 1.12292111e-03  2.11578008e-08 
 1.22292111e-03  4.22464237e-08 
 1.32292111e-03  2.02440459e-08 
 1.42292111e-03  3.69260283e-08 
 1.52292111e-03  2.40974708e-08 
 1.61198548e-03  4.25415044e-08 
 1.70540613e-03  1.39581707e-08 
 1.80540613e-03  4.54264902e-08 
 1.90540613e-03  1.55680306e-08 
 2.00540613e-03  4.83604951e-08 
 2.10540613e-03 -2.78075839e-10 
 2.19620772e-03  2.57861359e-05 
 2.25783728e-03  5.73142605e-03 
 2.31351974e-03  1.93209168e-02 
 2.36664610e-03  3.49878197e-02 
 2.42046992e-03  6.02214511e-02 
 2.49001553e-03  5.19638518e-02 
 2.55885061e-03  3.59217666e-02 
 2.63040957e-03  7.39360457e-02 
 2.68465436e-03  1.25717955e-01 
 2.76304148e-03  2.79120532e-01 
 2.79137351e-03  5.48412757e-01 
 2.81010355e-03  5.88933182e-01 
 2.83336169e-03  2.93454138e-01 
 2.84497441e-03  2.08084108e-01 
 2.85919898e-03  1.38196344e-01 
 2.87917350e-03  8.10438835e-02 
 2.90376688e-03  4.54880097e-02 
 2.92696047e-03  2.98395880e-02 
 2.97334766e-03  1.22321124e-02 
 3.01665422e-03  2.77758466e-03 
 3.07536684e-03  1.86282425e-05 
 3.13369316e-03 -2.82963302e-07 
